Title:,Total Votes Cast from the U.S. Presidential Elections Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubTitle:,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time:,1976 - 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"MIT Election Data and Science Lab  (2021-10-06). U.S. Presidential Elections: Total Votes Cast | Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, Washington DC, West Virginia, Wisconsin, Wyoming, 1976 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  107-001-003 doi:https://doi.org/10.6068/DP18480A96E8840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ColumnCount:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RowCount:,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time,"Alabama, Total Vote Count","Alaska, Total Vote Count","Arizona, Total Vote Count","Arkansas, Total Vote Count","California, Total Vote Count","Colorado, Total Vote Count","Connecticut, Total Vote Count","Delaware, Total Vote Count","Florida, Total Vote Count","Georgia, Total Vote Count","Hawaii, Total Vote Count","Idaho, Total Vote Count","Illinois, Total Vote Count","Indiana, Total Vote Count","Iowa, Total Vote Count","Kansas, Total Vote Count","Kentucky, Total Vote Count","Louisiana, Total Vote Count","Maine, Total Vote Count","Maryland, Total Vote Count","Massachusetts, Total Vote Count","Michigan, Total Vote Count","Minnesota, Total Vote Count","Mississippi, Total Vote Count","Missouri, Total Vote Count","Montana, Total Vote Count","Nebraska, Total Vote Count","Nevada, Total Vote Count","New Hampshire, Total Vote Count","New Jersey, Total Vote Count","New Mexico, Total Vote Count","New York, Total Vote Count","North Carolina, Total Vote Count","North Dakota, Total Vote Count","Ohio, Total Vote Count","Oklahoma, Total Vote Count","Oregon, Total Vote Count","Pennsylvania, Total Vote Count","Rhode Island, Total Vote Count","South Carolina, Total Vote Count","South Dakota, Total Vote Count","Tennessee, Total Vote Count","Texas, Total Vote Count","Utah, Total Vote Count","Vermont, Total Vote Count","Virginia, Total Vote Count","Washington, Total Vote Count","Washington DC, Total Vote Count","West Virginia, Total Vote Count","Wisconsin, Total Vote Count","Wyoming, Total Vote Count"
1976,1182850,123574,742719,767535,7803770,1081440,1386355,235642,3150631,1463152,291301,340932,4721282,2220362,1279303,957845,1167142,1277383,482968,1432273,2547558,3651590,1949931,768390,1953600,328734,606749,201876,339627,3014472,416590,6668262,1677906,297308,4110456,1092251,1029876,4620787,410584,802583,300678,1476346,4071884,541218,183902,1697094,1555534,168830,750590,2101336,156343
1980,1341929,158445,873945,837582,8582938,1184450,1406285,235668,3686927,1596805,303287,437431,4749721,2242033,1317661,979795,1295627,1548591,523011,1540496,2524090,3909725,2051916,891750,2099824,363952,639533,243692,383990,2975684,456237,6201959,1855833,301116,4283603,1149708,1181516,4561501,415967,888258,327703,1617616,4541636,604152,213299,1866032,1742394,173889,737715,2273221,176713
1984,1441713,207605,1025897,884406,9505041,1295380,1466900,254572,4180051,1776103,335846,411144,4819088,2233069,1319805,1021991,1369345,1706822,553144,1675873,2559383,3801658,2084449,941104,2122771,384377,652090,282717,388904,3217862,514370,6806810,2175361,308971,4563235,1255676,1226527,4844903,410489,968529,317867,1711993,5397571,629656,234561,2146635,1874910,211288,735742,2211689,188968
1988,1378476,200116,1171873,827738,9887065,1372394,1443394,249891,4302313,1809672,354461,408968,4559120,2168621,1225614,993044,1322517,1628202,555035,1714358,2632801,3669163,2096790,931527,2093228,365674,661465,343133,450525,3099553,521387,6485683,2134370,297261,4393585,1171036,1201694,4536251,404622,986009,312991,1636250,5427410,647008,243328,2191609,1865253,192877,653311,2191608,176551
1992,1688060,258506,1486975,950653,11131721,1569180,1616156,289620,5313392,2321133,372842,482114,5050157,2305871,1354607,1157236,1492900,1790017,679499,1984580,2773664,4274673,2347948,981793,2391270,410583,737546,506318,537215,3343594,569986,7079432,2611850,308133,4939967,1390359,1462643,4959810,453365,1228912,336254,1982638,6154018,743998,289701,2559129,2287565,227572,683677,2531064,199884
1996,1534349,241620,1404405,884262,10019469,1510702,1392614,270810,5303154,2298899,360120,491711,4311391,2135431,1234075,1074300,1388708,1783959,605897,1780870,2556459,3848844,2192492,893857,2158065,407083,677415,464279,496597,3075860,556074,6439129,2515807,266411,4534434,1206713,1377760,4501307,390247,1150182,323826,1894105,5611644,665629,258449,2416642,2253837,185726,636459,2196169,211571
2000,1666272,285560,1532016,921781,10965822,1741368,1459525,327529,5963110,2583208,367951,501615,4742108,2199302,1353022,1072216,1544106,1765656,651817,2025212,2733964,4232501,2438685,994184,2359892,410986,697019,609426,569081,3187226,598605,6960215,2914990,288256,4701998,1234229,1533950,4912185,409112,1383902,316269,2076181,6407637,770754,294308,2739447,2487433,201894,648124,2598607,213726
